지점명,원본주소,검색쿼리,lat,lon,변환주소,검색방식,기준연도,사고건수,사망자수,중상자수,경상자수,다발도,심각도,통합지수,주요사고유형
삼성동현대백화점,[지]대치동 1011,서울 강남구 대치동 1011,37.5071629495875,127.058020515978,서울 강남구 대치동 1011,address,2024,55,0,6,64,5.97,7.8,7.07,측면직각충돌
학동역교차로,[도]학동로 지하 180 학동역,서울 강남구 학동로,37.5171854156214,127.041144875644,서울 강남구 학동로,address,2024,45,0,13,45,6.03,7.53,6.93,차대차-기타
수서역앞교차로,[지]수서동 728,서울 강남구 수서동 728,37.4882577599491,127.100579605529,서울 강남구 수서동 728,address,2024,45,0,13,52,5.93,8.23,7.31,차대차-기타
르네상스호텔사거리,[지]역삼동 804,서울 강남구 역삼동 804,37.5012493916366,127.038331573474,서울 강남구 역삼동 804,address,2024,56,0,14,54,7.23,8.67,8.09,차대차-기타
대치우성아파트앞교차로,[지]대치동 995,서울 강남구 대치우성아파트앞교차로,37.5030946088049,127.058632600444,서울 강남구 대치동,keyword,2024,47,1,17,50,6.83,9.3,8.31,측면직각충돌
강남을지병원사거리,[지]신사동 501-5,서울 강남구 신사동 501-5,37.52024981401,127.029388621474,서울 강남구 신사동 501-5,address,2024,55,0,13,65,6.77,9.53,8.43,측면직각충돌
논현역앞교차로,[지]논현동 280,서울 강남구 논현동 280,37.5103020981712,127.021941044102,서울 강남구 논현동 280,address,2024,36,0,9,39,4.7,6.0,5.48,차대차-기타
포스코사거리,[지]대치동 1011,서울 강남구 대치동 1011,37.5071629495875,127.058020515978,서울 강남구 대치동 1011,address,2024,34,2,6,42,4.3,6.27,5.48,차대차-기타
성수대교남단교차로,[지]압구정동 394,서울 강남구 압구정동 394,37.5280883833727,127.029991296073,서울 강남구 압구정동 394,address,2024,45,0,4,45,4.93,5.43,5.23,차대차-기타
선릉역사거리,[지]역삼동 802-31,서울 강남구 역삼동 802-31,37.503582870501,127.049352631759,서울 강남구 역삼동 802-31,address,2024,47,0,6,51,4.97,6.5,5.89,차대차-기타
교보타워사거리(남남동방향 57M),[지]역삼동 858,서울 강남구 교보타워사거리(남남동방향 57M),,,,failed,2024,45,0,3,55,4.7,6.2,5.6,차대차-기타
