순번,지점명    ,지점주소    ,사고건수   ,사망자수   ,중상자수   ,경상자수   ,부상자수   ,다발도    ,심각도    ,통합지수   ,주요사고유형
1,차병원사거리,[지]논현동 279-128,60,0,16,68,5,8.03,10.53,9.53,차대차-기타
2,강남을지병원사거리,[지]신사동 501-5,60,0,17,67,3,7.67,10.67,9.47,차대차-기타
3,교보타워사거리,[도]봉은사로 지하 102 신논현역,72,1,7,84,5,7.83,10.37,9.35,측면직각충돌
4,르네상스호텔사거리,[지]역삼동 804,58,0,14,57,2,7.33,8.97,8.31,측면직각충돌
5,대치우성아파트앞교차로,[지]대치동 995,47,1,17,51,9,6.63,9.4,8.29,차대차-기타
6,경복아파트앞교차로,[지]논현동 279-165,60,0,11,63,8,7.17,8.87,8.19,차대차-기타
7,코엑스앞교차로,[지]삼성동 111-8,53,0,10,71,1,6.27,9.43,8.17,측면직각충돌
8,양재전화국교차로,[지]도곡동 207,48,1,9,66,8,5.67,9.03,7.69,차대차-기타
9,삼성동현대백화점,[지]삼성동 172-66,60,0,6,70,4,6.47,8.4,7.63,측면직각충돌
10,학동사거리,[지]청담동 77,53,0,9,64,6,5.73,8.5,7.39,측면직각충돌
11,학동역교차로,[도]학동로 지하 180 학동역,48,0,14,42,1,6.57,7.47,7.11,측면직각충돌
12,교보타워사거리,[지]논현동 280,55,1,6,60,5,6.13,7.73,7.09,측면직각충돌
13,신사역사거리,[지]신사동 501-5,49,0,7,60,2,5.63,7.63,6.83,측면직각충돌
14,코엑스앞교차로,[지]삼성동 111-8,41,0,9,58,2,4.93,7.9,6.71,측면직각충돌
15,뱅뱅사거리,[지]도곡동 958-2,44,0,11,49,7,5.4,7.47,6.64,차대차-기타
16,수서역앞교차로,[지]수서동 728,49,0,9,50,8,5.47,7.1,6.45,차대차-기타
17,구룡터널앞교차로,[지]개포동 1277,45,0,4,62,6,4.7,7.13,6.16,측면직각충돌
18,강남세브란스교차로,[지]도곡동 556,45,0,7,51,5,5.13,6.73,6.09,측면직각충돌
19,선릉역사거리,[도]테헤란로 지하 340 선릉역,45,1,7,45,4,5.23,6.47,5.97,차대차-기타
20,도산공원사거리,[지]신사동 501-5,36,0,11,43,6,4.43,6.87,5.89,측면직각충돌
21,매봉터널앞교차로,[지]도곡동 74-2,35,0,11,42,8,4.53,6.77,5.87,차대차-기타
22,국민연금관리공단(동북동방향 63M),[지]논현동 279,38,0,5,57,2,4.13,6.87,5.77,차대차-기타
23,역삼역앞교차로,[도]테헤란로 지하 156 역삼역,45,0,4,53,3,4.93,6.23,5.71,차대차-기타
24,학동사거리,[지]청담동 77,42,0,7,47,4,4.47,6.33,5.59,측면직각충돌
25,청담사거리,[지]청담동 77,36,0,9,39,2,4.57,6.0,5.43,차대차-기타
26,포스코사거리,[지]삼성동 172-66,41,2,2,49,1,4.5,6.03,5.42,추돌(진행중)
27,르네상스호텔사거리,[지]역삼동 801-7,41,0,8,36,3,5.07,5.47,5.31,측면직각충돌
28,성수대교남단교차로,[지]신사동 667-35,43,0,4,48,4,4.63,5.73,5.29,차대차-기타
29,대동빌딩앞삼성고객프(북북서방향 203M),[지]역삼동 858,38,0,5,42,2,4.47,5.37,5.01,차대차-기타
30,도곡1동주민센터입구교차로,[지]역삼동 805,36,0,7,36,4,4.23,5.23,4.83,차대차-기타
