segment_id,total_score,level_text,accident_rate_score,road_shape_score,road_scale_score,intersection_score,traffic_volume_score,explanation,detail_description,detail_source,detail_source_ref,detail_updated_at,computed_at
SEG_000001,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
SEG_000002,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
SEG_000003,38.5,보통,35.1,65,70,0,25,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점). 인근에 사고 이력이 있는 지점이 있습니다(사고율점수 35점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
SEG_000004,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
SEG_000005,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 주변에 신호등이나 횡단보도가 많아 교차로가 복잡합니다(교차로점수 100점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
SEG_000006,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 주변에 신호등이나 횡단보도가 많아 교차로가 복잡합니다(교차로점수 100점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
SEG_000007,43.2,보통,0.0,65,70,90,25,"주거지역 도로, 좁은 도로, 복잡한 교차로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 주변에 신호등이나 횡단보도가 많아 교차로가 복잡합니다(교차로점수 90점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
SEG_000008,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
SEG_000009,33.5,보통,0.0,65,70,25,25,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
SEG_000010,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로",이 구간은 서비스 도로(주차장 진입로 등)입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 80점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 20점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-02-16 01:31:58
