세그먼트ID,도로명,도로유형,중심위도,중심경도,난이도점수,난이도등급,사고율점수,도로형태점수,도로규모점수,교차로점수,교통량점수,설명
SEG_000001,봉은사로16길,residential,37.50505273333334,127.0295611333333,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000002,봉은사로6길,residential,37.50334674,127.02735868,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000003,선릉로111길,residential,37.5104155625,127.0414713375,38.5,보통,35.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000004,역삼로64길,residential,37.4999288,127.0532328,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000005,도곡로77길,residential,37.49958995,127.05818275,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000006,삼성로63길,residential,37.49990714545454,127.0593481818182,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000007,삼성로63길,residential,37.4991962,127.05719531,43.2,보통,0.0,65,70,90,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000008,선릉로68길,residential,37.49936433,127.05350018,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000009,선릉로72길,residential,37.500183675,127.052000925,33.5,보통,0.0,65,70,25,25,"주거지역 도로, 좁은 도로"
SEG_000010,선릉로64길,service,37.498495,127.052952075,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000011,역삼로74길,residential,37.50051855,127.0551133666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000012,도곡로69길,residential,37.49821011111111,127.0559002,38.8,보통,0.0,65,70,60,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000013,선릉로64길,residential,37.49788923333333,127.0532391333333,32.8,보통,0.0,65,70,20,25,"주거지역 도로, 좁은 도로"
SEG_000014,도곡로73길,service,37.4988078125,127.057206425,46.0,보통,0.0,70,80,100,20,"서비스 도로, 좁은 도로, 복잡한 교차로"
SEG_000015,광나루로,primary,37.53877666,127.09903148,37.5,보통,0.0,40,30,50,70,"주간선도로, 넓은 도로, 복잡한 교차로, 교통량 많음"
SEG_000016,테헤란로115길,tertiary,37.51107375,127.067221475,33.5,보통,0.0,50,50,40,40,집산도로
SEG_000017,이름없음,trunk_link,37.4982815,127.083350525,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000018,자양번영로,tertiary,37.5299917,127.0747182666667,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000019,뚝섬로,secondary,37.53296574545455,127.0868077363636,43.8,보통,0.0,45,40,100,55,"보조간선도로, 복잡한 교차로"
SEG_000020,뚝섬로,secondary,37.53404806666666,127.0902205,28.8,쉬움,0.0,45,40,0,55,보조간선도로
SEG_000021,일원로3길,tertiary,37.49245385454546,127.0840552,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000022,일원로3길,tertiary,37.49128765,127.0813427,29.0,쉬움,0.0,50,50,10,40,집산도로
