segment_id,original_way_id,road_name,highway_type,lanes,width,maxspeed,start_lat,start_lon,end_lat,end_lon,center_lat,center_lon,num_points,coordinates_json
SEG_000001,26004328,봉은사로16길,residential,,,,37.5060425,127.0304396,37.503966,127.0286256,37.505052733333336,127.02956113333333,3,"[[127.0304396, 37.5060425], [127.0296182, 37.5051497], [127.0286256, 37.503966]]"
SEG_000002,26163000,봉은사로6길,residential,,,,37.5024295,127.0281465,37.5050146,127.0264913,37.50334674,127.02735867999999,10,"[[127.0281465, 37.5024295], [127.0279318, 37.5025408], [127.0276268, 37.5027117], [127.027595, 37.5027424], [127.0274852, 37.5029518], [127.0273538, 37.5032021], [127.0270998, 37.5037347], [127.0270346, 37.5038134], [127.026822, 37.5043264], [127.0264913, 37.5050146]]"
SEG_000003,26163005,선릉로111길,residential,,,,37.5099362,127.0398003,37.5110343,127.0435807,37.5104155625,127.0414713375,8,"[[127.0398003, 37.5099362], [127.0403315, 37.5100785], [127.0404932, 37.510125], [127.0411507, 37.5103223], [127.0416363, 37.5104667], [127.0420664, 37.5105939], [127.0427116, 37.5107676], [127.0435807, 37.5110343]]"
SEG_000004,31733644,역삼로64길,residential,,,,37.5004967,127.052971,37.4993609,127.0534946,37.4999288,127.05323279999999,2,"[[127.052971, 37.5004967], [127.0534946, 37.4993609]]"
SEG_000005,31733648,도곡로77길,residential,,,,37.498962,127.0584991,37.5007003,127.0575929,37.49958995,127.05818275,8,"[[127.0584991, 37.498962], [127.0584873, 37.4989855], [127.0583014, 37.4993681], [127.0582274, 37.4995215], [127.0582218, 37.4995317], [127.0582106, 37.4995529], [127.0579215, 37.5000976], [127.0575929, 37.5007003]]"
SEG_000006,31733664,삼성로63길,residential,,,,37.5001783,127.0601547,37.4995392,127.0582437,37.49990714545454,127.05934818181818,11,"[[127.0601547, 37.5001783], [127.0601028, 37.5001603], [127.0598145, 37.5000589], [127.0597093, 37.5000247], [127.0594719, 37.4999458], [127.0594126, 37.4999258], [127.0591616, 37.4998431], [127.0591159, 37.4998288], [127.0588373, 37.4997414], [127.0588057, 37.4997323], [127.0582437, 37.4995392]]"
SEG_000007,31733664,삼성로63길,residential,,,,37.4995392,127.0582437,37.4986825,127.0556496,37.4991962,127.05719531,10,"[[127.0582437, 37.4995392], [127.0582218, 37.4995317], [127.058195, 37.4995232], [127.0575718, 37.499325], [127.0574263, 37.4992736], [127.0572778, 37.4992211], [127.0569209, 37.4991042], [127.0562832, 37.4989003], [127.056163, 37.4988612], [127.0556496, 37.4986825]]"
SEG_000008,31735618,선릉로68길,residential,,,,37.4987942,127.0517171,37.4998569,127.0550455,37.49936433,127.05350017999999,10,"[[127.0517171, 37.4987942], [127.0522407, 37.4989669], [127.0526605, 37.4990974], [127.053057, 37.4992221], [127.0534946, 37.4993609], [127.0537949, 37.4994604], [127.0539025, 37.4994923], [127.0543085, 37.4996206], [127.0547805, 37.4997716], [127.0550455, 37.4998569]]"
SEG_000009,31755396,선릉로72길,residential,,,,37.4999321,127.0511793,37.5004967,127.052971,37.500183675,127.052000925,4,"[[127.0511793, 37.4999321], [127.051718, 37.5000833], [127.0521354, 37.5002226], [127.052971, 37.5004967]]"
SEG_000010,31755399,선릉로64길,service,,,,37.4978943,127.0532499,37.4990974,127.0526605,37.498495,127.052952075,4,"[[127.0532499, 37.4978943], [127.0530125, 37.4983588], [127.0528854, 37.4986295], [127.0526605, 37.4990974]]"
