way_id,name,highway,lanes,width,maxspeed,oneway,surface,num_points,start_lat,start_lon,end_lat,end_lon
26004328,봉은사로16길,residential,,,,no,,3,37.5060425,127.0304396,37.503966,127.0286256
26163000,봉은사로6길,residential,,,,no,,10,37.5024295,127.0281465,37.5050146,127.0264913
26163005,선릉로111길,residential,,,,yes,,8,37.5099362,127.0398003,37.5110343,127.0435807
31733644,역삼로64길,residential,,,,no,asphalt,2,37.5004967,127.052971,37.4993609,127.0534946
31733648,도곡로77길,residential,,,,no,,8,37.498962,127.0584991,37.5007003,127.0575929
31733664,삼성로63길,residential,,,,no,,20,37.5001783,127.0601547,37.4986825,127.0556496
31735618,선릉로68길,residential,,,,no,,10,37.4987942,127.0517171,37.4998569,127.0550455
31755396,선릉로72길,residential,,,,no,asphalt,4,37.4999321,127.0511793,37.5004967,127.052971
31755399,선릉로64길,service,,,,no,asphalt,4,37.4978943,127.0532499,37.4990974,127.0526605
31755401,역삼로74길,residential,,,,no,asphalt,6,37.4998569,127.0550455,37.5012101,127.0551888
31755403,도곡로69길,residential,,,,no,asphalt,9,37.497417,127.0563167,37.4998569,127.0550455
31755407,선릉로64길,residential,,,,no,,6,37.4975743,127.0522893,37.4981584,127.0540682
31779784,도곡로73길,service,,,,no,,8,37.5002776,127.056306,37.4979637,127.0580187
37395764,광나루로,primary,,,,yes,,5,37.5380124,127.0999088,37.539553,127.0980664
37395803,테헤란로115길,tertiary,,,,yes,,4,37.5101321,127.0673608,37.5123579,127.0670329
37395808,이름없음,trunk_link,,,,yes,,4,37.4986726,127.0820112,37.4979579,127.0846934
37398869,자양번영로,tertiary,,,,no,,3,37.5296951,127.0746217,37.530543,127.0748984
37398872,뚝섬로,secondary,2,,,no,asphalt,16,37.5324164,127.0853111,37.5344847,127.0917181
37398884,일원로3길,tertiary,,,,no,,12,37.4934732,127.0869294,37.4910153,127.0807654
37398887,개포로,tertiary,4,,,no,,7,37.4782831,127.0446487,37.4788166,127.0475145
37399318,광나루로,primary,,,,yes,,3,37.5407426,127.096303,37.5393238,127.0982515
37399320,강동대로,primary,,,,yes,,2,37.5379664,127.0998337,37.5374,127.10039
37399363,구의강변로,tertiary,,,,no,asphalt,7,37.530991,127.0919082,37.5344847,127.0917181
37399402,성덕정길,tertiary,,,,no,,53,37.5363584,127.0604605,37.5400773,127.0437747
37399453,구의로,tertiary,,,,no,,2,37.5378477,127.089173,37.5379465,127.0891318
37399874,논현로,primary,,,,yes,,2,37.4713595,127.0512487,37.4715589,127.0510374
37400052,개포로109길,residential,,,,no,,17,37.4947416,127.0783363,37.4925514,127.0762603
37400096,도곡로,secondary,,,,no,,12,37.5014165,127.0687745,37.4989265,127.0609727
37400263,논현로,primary,2,,,yes,asphalt,2,37.5374208,127.0201215,37.5334291,127.0229525
37400301,뚝섬로,secondary,2,,,no,asphalt,17,37.5314674,127.0820077,37.5331998,127.0756803
37400312,마방로,tertiary,,,,no,,17,37.4737104,127.0387794,37.4782093,127.0445122
37400367,남부순환로378길,tertiary,,,,no,,6,37.4832498,127.047668,37.484913,127.0464515
37400481,봉은사로113길,tertiary_link,,,,yes,,9,37.5165769,127.0661675,37.5152555,127.0659986
37400603,바우뫼로,tertiary,,,,no,,22,37.47309,127.02954,37.4781105,127.0385073
37400802,논현로28길,tertiary,,,,no,,13,37.4819037,127.0429271,37.484913,127.0464515
37401215,도곡로7길,residential,,,,no,,5,37.4906115,127.0350793,37.4926122,127.0341175
37401416,성수이로,tertiary,,,,no,,4,37.5375521,127.0543176,37.53885,127.05488
37401581,자양번영로,tertiary,4,,30,no,asphalt,16,37.5331998,127.0756803,37.5380336,127.0771393
37401852,비우뫼로15길,tertiary,,,,yes,,20,37.4737864,127.0307069,37.483728,127.028715
37402028,광나루로,primary,,,,yes,,5,37.5393238,127.0982515,37.5379664,127.0998337
37402031,한가람로,tertiary,,,,no,,2,37.5166405,127.0773949,37.5166111,127.0775322
37402052,왕십리로,primary,6,,,yes,,4,37.5399565,127.0437605,37.5394392,127.0437412
37402420,일원로,tertiary,,,,no,asphalt,4,37.4832797,127.0838568,37.4854936,127.0833403
37402465,이름없음,residential,,,50,yes,asphalt,2,37.5233495,127.1023456,37.5334048,127.0959047
37402629,바우뫼로12길,tertiary,,,,no,,7,37.4675247,127.0347686,37.4706628,127.0318144
