"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","--- WORK_DTTM"
"1","4.19로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"2","4.19로11길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"3","4.19로12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"4","4.19로13길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"5","4.19로17길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"6","4.19로1길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"7","4.19로20길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"8","4.19로21길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"9","4.19로23길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"10","4.19로25길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.599"
"11","4.19로27길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.604"
"12","4.19로28길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.604"
"13","4.19로29길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.604"
"14","4.19로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.604"
"15","4.19로30길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.604"
"16","4.19로31길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.604"
"17","4.19로32길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.604"
"18","4.19로8길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:01.604"
"19","4.19로9가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.604"
"20","4.19로9길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.604"
"21","63로","일반도로","국지도로","대로3류","폭25-30m","2026-01-22 11:18:01.609"
"22","가락로","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.609"
"23","가락로11길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.609"
"24","가락로12길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.609"
"25","가락로13길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.609"
"26","가락로15길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.609"
"27","가락로16길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.609"
"28","가락로17길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.609"
"29","가락로18길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.609"
"30","가락로19길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.609"
"31","가락로21길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.614"
"32","가락로23길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.614"
"33","가락로28길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.614"
"34","가락로2길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.614"
"35","가락로30길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.614"
"36","가락로31길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.614"
"37","가락로33길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.614"
"38","가락로34길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.614"
"39","가락로36길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.614"
"40","가락로37길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.614"
"41","가락로38길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.618"
"42","가락로39길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.618"
"43","가락로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.618"
"44","가락로40길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.618"
"45","가락로42길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.618"
"46","가락로5길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.618"
"47","가락로6길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.618"
"48","가락로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.618"
"49","가락로9길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.618"
"50","가람길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:01.618"
"51","가래여울1길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.623"
"52","가래여울2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.623"
"53","가래여울길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.623"
"54","가로공원로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.623"
"55","가로공원로55길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.623"
"56","가로공원로56길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.623"
"57","가로공원로58길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.623"
"58","가로공원로60가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.623"
"59","가로공원로60길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.623"
"60","가로공원로61길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.623"
"61","가로공원로64길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.628"
"62","가로공원로66길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.628"
"63","가로공원로67길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.628"
"64","가로공원로69길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.628"
"65","가로공원로70길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.628"
"66","가로공원로71길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.628"
"67","가로공원로72길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.628"
"68","가로공원로74길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.628"
"69","가로공원로76가길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.628"
"70","가로공원로76길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.628"
"71","가로공원로77길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"72","가로공원로78가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"73","가로공원로78길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"74","가로공원로80가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"75","가로공원로80길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"76","가로공원로82길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"77","가로공원로84길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"78","가로공원로86길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"79","가로공원로88길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"80","가로공원로89길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.632"
"81","가로수길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.637"
"82","가리봉~독산선","일반도로","보조간선도로","중로1류","폭20-25m","2026-01-22 11:18:01.637"
"83","가리봉~신길선","일반도로","보조간선도로","대로2류","폭30-35m","2026-01-22 11:18:01.637"
"84","가마산로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.637"
"85","가마산로11길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.637"
