edge_id,slope
EDGE_000001,-0.053575
EDGE_000002,-0.018054
EDGE_000003,0.050335
EDGE_000004,0.045680
EDGE_000005,-0.032840
EDGE_000006,0.023646
EDGE_000007,0.033988
EDGE_000008,0.001009
EDGE_000009,0.007889
EDGE_000010,0.040041
EDGE_000011,0.005550
EDGE_000012,0.005418
EDGE_000013,0.007093
EDGE_000014,0.035244
EDGE_000015,-0.017482
EDGE_000016,0.010172
EDGE_000017,0.073921
EDGE_000018,0.008572
EDGE_000019,-0.007066
EDGE_000020,-0.026455
EDGE_000021,-0.001871
EDGE_000022,-0.001330
EDGE_000023,0.020239
EDGE_000024,0.010143
EDGE_000025,0.031876
EDGE_000026,-0.045750
EDGE_000027,-0.023015
EDGE_000028,0.044113
EDGE_000029,-0.007606
EDGE_000030,-0.044043
EDGE_000031,0.038084
EDGE_000032,-0.044734
EDGE_000033,-0.094190
EDGE_000034,-0.032175
EDGE_000035,-0.007510
EDGE_000036,0.011592
EDGE_000037,-0.026164
EDGE_000038,0.028866
EDGE_000039,0.006770
EDGE_000040,0.010139
EDGE_000041,-0.007194
EDGE_000042,0.007281
EDGE_000043,-0.027242
EDGE_000044,0.003180
EDGE_000045,0.001224
EDGE_000046,-0.004138
EDGE_000047,-0.011695
EDGE_000048,-0.004036
EDGE_000049,0.028829
EDGE_000050,-0.028866
EDGE_000051,0.000000
EDGE_000052,0.027558
EDGE_000053,-0.001224
EDGE_000054,-0.010975
EDGE_000055,0.001178
EDGE_000056,0.017482
EDGE_000057,0.000931
EDGE_000058,-0.012747
EDGE_000059,0.012320
EDGE_000060,-0.001178
EDGE_000061,0.000000
EDGE_000062,-0.009337
EDGE_000063,0.040221
EDGE_000064,0.038242
EDGE_000065,-0.006541
EDGE_000066,-0.035211
EDGE_000067,-0.002741
EDGE_000068,-0.018282
EDGE_000069,0.039630
EDGE_000070,0.007066
EDGE_000071,-0.010283
EDGE_000072,0.000255
EDGE_000073,0.011041
EDGE_000074,0.008579
EDGE_000075,0.001124
EDGE_000076,-0.001109
EDGE_000077,0.009089
EDGE_000078,0.009169
EDGE_000079,0.000678
EDGE_000080,-0.021411
EDGE_000081,0.023407
EDGE_000082,0.011996
EDGE_000083,0.033748
EDGE_000084,-0.012206
EDGE_000085,-0.004847
EDGE_000086,-0.004292
EDGE_000087,-0.000454
EDGE_000088,-0.017084
EDGE_000089,-0.001558
EDGE_000090,-0.002548
EDGE_000091,0.066913
EDGE_000092,0.004090
EDGE_000093,-0.006685
EDGE_000094,0.030891
EDGE_000095,-0.053530
EDGE_000096,-0.017412
EDGE_000097,-0.000120
EDGE_000098,-0.006419
EDGE_000099,-0.003709
EDGE_000100,0.008646
EDGE_000101,-0.046871
EDGE_000102,-0.008887
EDGE_000103,-0.000395
EDGE_000104,0.070857
EDGE_000105,-0.012370
EDGE_000106,0.022063
EDGE_000107,0.031416
EDGE_000108,-0.010447
EDGE_000109,0.021828
EDGE_000110,0.003497
EDGE_000111,0.007935
EDGE_000112,0.003399
EDGE_000113,-0.001911
EDGE_000114,0.010112
EDGE_000115,0.003699
EDGE_000116,-0.017659
EDGE_000117,0.035001
EDGE_000118,-0.002514
EDGE_000119,-0.000992
EDGE_000120,-0.026858
EDGE_000121,0.005159
EDGE_000122,-0.005887
EDGE_000123,0.022371
EDGE_000124,0.012693
EDGE_000125,-0.040377
EDGE_000126,-0.028405
EDGE_000127,0.042645
EDGE_000128,-0.015786
EDGE_000129,0.075786
EDGE_000130,0.009003
EDGE_000131,0.031656
