segment_id,level_rule_id,level,level_score,computed_at
SEG_000001,1,1,29.8,2026-02-16 01:31:59
SEG_000002,1,1,29.8,2026-02-16 01:31:59
SEG_000003,1,2,38.5,2026-02-16 01:31:59
SEG_000004,1,1,29.8,2026-02-16 01:31:59
SEG_000005,1,3,44.8,2026-02-16 01:31:59
SEG_000006,1,3,44.8,2026-02-16 01:31:59
SEG_000007,1,3,43.2,2026-02-16 01:31:59
SEG_000008,1,1,29.8,2026-02-16 01:31:59
SEG_000009,1,2,33.5,2026-02-16 01:31:59
SEG_000010,1,1,31.0,2026-02-16 01:31:59
SEG_000011,1,1,29.8,2026-02-16 01:31:59
SEG_000012,1,2,38.8,2026-02-16 01:31:59
SEG_000013,1,2,32.8,2026-02-16 01:31:59
SEG_000014,1,3,46.0,2026-02-16 01:31:59
SEG_000015,1,2,37.5,2026-02-16 01:31:59
SEG_000016,1,2,33.5,2026-02-16 01:31:59
SEG_000017,1,2,35.5,2026-02-16 01:31:59
SEG_000018,1,1,27.5,2026-02-16 01:31:59
SEG_000019,1,3,43.8,2026-02-16 01:31:59
SEG_000020,1,1,28.8,2026-02-16 01:31:59
SEG_000021,1,1,27.5,2026-02-16 01:31:59
SEG_000022,1,1,29.0,2026-02-16 01:31:59
SEG_000023,1,2,31.2,2026-02-16 01:31:59
SEG_000024,1,2,37.5,2026-02-16 01:31:59
SEG_000025,1,1,30.0,2026-02-16 01:31:59
SEG_000026,1,1,27.5,2026-02-16 01:31:59
SEG_000027,1,1,29.0,2026-02-16 01:31:59
SEG_000028,1,1,27.5,2026-02-16 01:31:59
SEG_000029,1,1,27.5,2026-02-16 01:31:59
SEG_000030,1,1,27.5,2026-02-16 01:31:59
SEG_000031,1,1,27.5,2026-02-16 01:31:59
SEG_000032,1,1,29.0,2026-02-16 01:31:59
SEG_000033,1,2,41.0,2026-02-16 01:31:59
SEG_000034,1,3,45.0,2026-02-16 01:31:59
SEG_000035,1,2,40.2,2026-02-16 01:31:59
SEG_000036,1,3,44.8,2026-02-16 01:31:59
SEG_000037,1,1,28.8,2026-02-16 01:31:59
SEG_000038,1,3,43.8,2026-02-16 01:31:59
SEG_000039,1,1,30.0,2026-02-16 01:31:59
SEG_000040,1,2,33.2,2026-02-16 01:31:59
SEG_000041,1,1,28.8,2026-02-16 01:31:59
SEG_000042,1,2,38.0,2026-02-16 01:31:59
SEG_000043,1,2,38.8,2026-02-16 01:31:59
SEG_000044,1,1,27.5,2026-02-16 01:31:59
SEG_000045,1,1,28.0,2026-02-16 01:31:59
SEG_000046,1,1,30.5,2026-02-16 01:31:59
SEG_000047,1,1,27.5,2026-02-16 01:31:59
SEG_000048,1,3,42.5,2026-02-16 01:31:59
SEG_000049,1,1,27.5,2026-02-16 01:31:59
SEG_000050,1,1,27.5,2026-02-16 01:31:59
SEG_000051,1,2,31.2,2026-02-16 01:31:59
SEG_000052,1,1,27.5,2026-02-16 01:31:59
SEG_000053,1,1,27.5,2026-02-16 01:31:59
SEG_000054,1,2,32.0,2026-02-16 01:31:59
SEG_000055,1,1,27.5,2026-02-16 01:31:59
SEG_000056,1,2,32.0,2026-02-16 01:31:59
SEG_000057,1,2,37.5,2026-02-16 01:31:59
SEG_000058,1,1,27.5,2026-02-16 01:31:59
SEG_000059,1,2,31.5,2026-02-16 01:31:59
SEG_000060,1,1,27.5,2026-02-16 01:31:59
SEG_000061,1,1,29.8,2026-02-16 01:31:59
SEG_000062,1,1,27.5,2026-02-16 01:31:59
SEG_000063,1,1,29.8,2026-02-16 01:31:59
SEG_000064,1,1,29.8,2026-02-16 01:31:59
SEG_000065,1,1,27.5,2026-02-16 01:31:59
SEG_000066,1,1,29.8,2026-02-16 01:31:59
SEG_000067,1,1,29.8,2026-02-16 01:31:59
SEG_000068,1,3,44.8,2026-02-16 01:31:59
SEG_000069,1,2,39.5,2026-02-16 01:31:59
SEG_000070,1,3,44.8,2026-02-16 01:31:59
SEG_000071,1,1,29.8,2026-02-16 01:31:59
SEG_000072,1,1,29.8,2026-02-16 01:31:59
SEG_000073,1,2,35.8,2026-02-16 01:31:59
SEG_000074,1,1,29.8,2026-02-16 01:31:59
SEG_000075,1,1,29.8,2026-02-16 01:31:59
SEG_000076,1,3,44.8,2026-02-16 01:31:59
SEG_000077,1,3,44.8,2026-02-16 01:31:59
SEG_000078,1,3,44.8,2026-02-16 01:31:59
SEG_000079,1,3,43.2,2026-02-16 01:31:59
SEG_000080,1,3,68.2,2026-02-16 01:31:59
SEG_000081,1,3,44.8,2026-02-16 01:31:59
SEG_000082,1,2,38.8,2026-02-16 01:31:59
SEG_000083,1,2,39.5,2026-02-16 01:31:59
SEG_000084,1,3,44.8,2026-02-16 01:31:59
SEG_000085,1,3,53.6,2026-02-16 01:31:59
SEG_000086,1,2,39.5,2026-02-16 01:31:59
SEG_000087,1,3,46.6,2026-02-16 01:31:59
SEG_000088,1,1,30.0,2026-02-16 01:31:59
SEG_000089,1,1,29.8,2026-02-16 01:31:59
SEG_000090,1,1,30.0,2026-02-16 01:31:59
SEG_000091,1,3,43.8,2026-02-16 01:31:59
SEG_000092,1,2,39.1,2026-02-16 01:31:59
SEG_000093,1,3,49.5,2026-02-16 01:31:59
SEG_000094,1,2,33.0,2026-02-16 01:31:59
SEG_000095,1,2,31.5,2026-02-16 01:31:59
SEG_000096,1,2,33.0,2026-02-16 01:31:59
SEG_000097,1,1,30.0,2026-02-16 01:31:59
SEG_000098,1,1,31.0,2026-02-16 01:31:59
SEG_000099,1,2,40.2,2026-02-16 01:31:59
SEG_000100,1,2,40.2,2026-02-16 01:31:59
SEG_000101,1,1,29.8,2026-02-16 01:31:59
SEG_000102,1,1,31.0,2026-02-16 01:31:59
SEG_000103,1,2,38.8,2026-02-16 01:31:59
SEG_000104,1,1,29.8,2026-02-16 01:31:59
SEG_000105,1,2,35.0,2026-02-16 01:31:59
SEG_000106,1,2,38.8,2026-02-16 01:31:59
SEG_000107,1,2,38.8,2026-02-16 01:31:59
SEG_000108,1,3,46.3,2026-02-16 01:31:59
SEG_000109,1,2,37.2,2026-02-16 01:31:59
SEG_000110,1,1,31.0,2026-02-16 01:31:59
SEG_000111,1,1,29.8,2026-02-16 01:31:59
SEG_000112,1,1,29.8,2026-02-16 01:31:59
SEG_000113,1,2,38.8,2026-02-16 01:31:59
SEG_000114,1,2,38.8,2026-02-16 01:31:59
SEG_000115,1,2,40.0,2026-02-16 01:31:59
SEG_000116,1,2,38.8,2026-02-16 01:31:59
SEG_000117,1,2,38.8,2026-02-16 01:31:59
SEG_000118,1,1,29.8,2026-02-16 01:31:59
SEG_000119,1,1,29.8,2026-02-16 01:31:59
SEG_000120,1,2,35.5,2026-02-16 01:31:59
SEG_000121,1,3,44.5,2026-02-16 01:31:59
SEG_000122,1,3,44.8,2026-02-16 01:31:59
SEG_000123,1,3,44.8,2026-02-16 01:31:59
SEG_000124,1,2,31.2,2026-02-16 01:31:59
SEG_000125,1,1,29.8,2026-02-16 01:31:59
SEG_000126,1,1,31.0,2026-02-16 01:31:59
SEG_000127,1,3,46.0,2026-02-16 01:31:59
SEG_000128,1,1,29.8,2026-02-16 01:31:59
SEG_000129,1,2,36.5,2026-02-16 01:31:59
SEG_000130,1,3,47.5,2026-02-16 01:31:59
SEG_000131,1,3,56.5,2026-02-16 01:31:59
SEG_000132,1,3,48.8,2026-02-16 01:31:59
SEG_000133,1,3,48.8,2026-02-16 01:31:59
SEG_000134,1,3,48.8,2026-02-16 01:31:59
SEG_000135,1,3,47.5,2026-02-16 01:31:59
SEG_000136,1,3,55.0,2026-02-16 01:31:59
SEG_000137,1,3,56.3,2026-02-16 01:31:59
SEG_000138,1,3,61.0,2026-02-16 01:31:59
SEG_000139,1,3,63.8,2026-02-16 01:31:59
SEG_000140,1,1,29.8,2026-02-16 01:31:59
SEG_000141,1,3,47.5,2026-02-16 01:31:59
SEG_000142,1,1,31.0,2026-02-16 01:31:59
SEG_000143,1,1,31.0,2026-02-16 01:31:59
SEG_000144,1,1,31.0,2026-02-16 01:31:59
SEG_000145,1,1,29.8,2026-02-16 01:31:59
SEG_000146,1,1,31.0,2026-02-16 01:31:59
SEG_000147,1,3,47.5,2026-02-16 01:31:59
SEG_000148,1,3,46.0,2026-02-16 01:31:59
SEG_000149,1,1,29.8,2026-02-16 01:31:59
SEG_000150,1,1,31.0,2026-02-16 01:31:59
SEG_000151,1,3,53.5,2026-02-16 01:31:59
SEG_000152,1,3,48.8,2026-02-16 01:31:59
SEG_000153,1,3,49.0,2026-02-16 01:31:59
SEG_000154,1,2,34.2,2026-02-16 01:31:59
SEG_000155,1,3,48.8,2026-02-16 01:31:59
SEG_000156,1,2,40.2,2026-02-16 01:31:59
SEG_000157,1,3,44.8,2026-02-16 01:31:59
SEG_000158,1,3,58.0,2026-02-16 01:31:59
SEG_000159,1,1,29.8,2026-02-16 01:31:59
SEG_000160,1,2,31.2,2026-02-16 01:31:59
SEG_000161,1,2,37.2,2026-02-16 01:31:59
SEG_000162,1,2,32.5,2026-02-16 01:31:59
SEG_000163,1,2,32.5,2026-02-16 01:31:59
SEG_000164,1,1,29.8,2026-02-16 01:31:59
SEG_000165,1,1,31.0,2026-02-16 01:31:59
SEG_000166,1,2,33.0,2026-02-16 01:31:59
